,name,temp,wind_speed,humidity,cloud%,lon,lat
329,Kaniama,68.03,1.63,92,8,24.18,-7.57
330,Namibe,74.75,11.21,100,92,12.15,-15.19
331,Half Moon Bay,60.44,31.09,76,90,-122.43,37.46
332,Zagreb,43.52,10.29,73,0,15.98,45.81
333,Laguna,73.4,6.93,53,40,-110.01,27.52
334,Yeppoon,73.4,6.93,83,92,150.74,-23.13
335,Chuy,76.94,13.82,89,0,-53.46,-33.69
336,Coquimbo,69.8,11.41,60,20,-71.34,-29.95
337,Save,80.99,7.0,67,24,2.49,8.04
338,Chicama,71.6,12.75,83,20,-79.15,-7.84
339,Kruisfontein,68.03,17.07,94,92,24.73,-34.0
340,Le Port,17.54,0.85,76,36,1.37,42.87
341,Hasaki,34.65,5.82,55,75,140.83,35.73
342,Port Hardy,44.6,13.87,70,75,-127.42,50.7
343,Lavrentiya,28.43,10.8,98,92,-170.99,65.58
344,Gairo,61.46,2.64,99,36,36.87,-6.14
345,Port Augusta,75.2,13.87,83,44,137.76,-32.49
346,Salalah,77.0,4.7,65,75,54.1,17.01
347,Marawi,64.2,1.97,100,36,124.29,8.0
348,Ust-Nera,-66.08,1.63,0,0,143.24,64.57
349,Sishui,17.4,3.42,60,0,117.27,35.66
350,Kattivakkam,73.4,9.35,94,0,80.32,13.22
351,Baraboo,27.09,6.85,49,1,-89.74,43.47
352,Igarka,1.88,5.21,88,68,86.57,67.47
353,Pevek,-5.19,14.94,97,76,170.27,69.7
354,Semnan,48.2,3.65,57,75,53.39,35.58
355,Piacabucu,80.58,12.48,74,92,-36.43,-10.41
356,Pochutla,87.24,2.19,41,75,-96.47,15.74
357,Banjarmasin,75.2,5.82,100,90,114.59,-3.32
358,Ierapetra,42.8,6.93,81,20,25.74,35.01
359,Cayenne,84.2,13.87,70,75,-52.33,4.94
360,Grand-Bourg,81.25,9.17,74,75,-61.31,15.88
361,Pahrump,49.28,6.93,77,90,-115.98,36.21
362,Palauig,66.72,4.65,100,8,119.9,15.44
363,Lompoc,61.3,12.75,83,90,-120.46,34.64
364,Tiarei,87.8,12.75,66,20,-149.33,-17.53
365,Lac du Bonnet,-5.73,5.66,84,0,-96.06,50.25
366,Sangar,-46.37,2.75,0,0,127.47,63.92
367,Sandakan,78.8,8.05,83,75,118.12,5.84
368,Barmer,50.21,2.98,78,0,71.4,25.74
369,Haines Junction,5.48,2.64,88,76,-137.51,60.75
370,Yichun,-18.51,7.45,52,8,128.88,47.72
371,Hami,10.2,3.31,76,92,93.51,42.84
372,Kaura Namoda,65.55,9.69,24,0,6.58,12.59
373,Nouadhibou,71.6,13.87,46,0,-17.03,20.93
374,Noumea,68.0,9.24,82,0,166.46,-22.28
375,Nador,51.76,3.36,76,24,-2.93,35.17
376,Ulaangom,-10.28,1.07,57,48,92.07,49.98
377,Virginia Beach,49.87,13.87,47,20,-75.98,36.85
378,Makat,34.77,21.09,88,0,53.35,47.65
379,Berezovyy,-16.98,5.99,46,68,135.7,51.67
380,La Asuncion,63.59,5.82,63,75,-78.74,-1.64
381,Puerto Baquerizo Moreno,84.2,19.46,70,20,-89.6,-0.9
382,Manakara,79.14,11.92,93,20,48.01,-22.14
383,Castrillon,51.8,6.93,76,75,-6.79,43.4
384,Grand Forks,-1.25,4.32,71,75,-97.06,47.91
385,Bam,55.13,4.72,35,0,58.36,29.11
386,Southbridge,35.64,10.29,61,40,-72.03,42.08
387,Robertson,62.13,1.97,80,0,19.88,-33.8
388,Nikolskoye,23.0,2.24,92,90,30.79,59.7
389,Kantunilkin,75.2,4.7,60,75,-87.49,21.1
390,Lapeer,26.06,6.93,56,1,-83.32,43.05
391,Furth im Wald,35.6,6.93,80,75,12.85,49.31
392,Thinadhoo,80.36,1.63,100,76,72.93,0.53
393,Yingcheng,28.4,3.65,100,0,113.57,30.93
394,Dunedin,65.24,3.31,85,64,170.5,-45.87
395,Chapais,-7.61,14.99,63,90,-74.86,49.78
396,Ponnani,75.2,3.36,73,0,75.93,10.77
397,Nueva Helvecia,79.32,1.97,86,0,-57.23,-34.28
398,Marienburg,41.05,12.75,75,75,9.98,52.12
399,Baherden,44.31,6.55,66,12,57.43,38.44
400,Belousovka,23.0,6.71,92,90,82.52,50.13
401,Armizonskoye,12.0,11.48,81,48,67.67,55.95
402,Tomatlan,81.57,2.98,62,88,-105.25,19.93
403,Grand Gaube,82.4,8.05,78,40,57.66,-20.01
404,Eureka,55.74,19.46,66,90,-124.16,40.8
405,Thunder Bay,1.4,9.17,49,20,-89.26,48.41
406,La Ronge,-7.61,3.31,76,90,-105.3,55.1
407,Falam,37.88,0.4,86,0,93.68,22.91
408,Nelson Bay,69.8,3.36,94,0,152.14,-32.72
409,Banda Aceh,72.98,2.75,100,32,95.32,5.56
410,Ahipara,68.03,13.6,81,76,173.16,-35.17
411,Lagoa,57.2,3.36,71,40,-8.45,37.14
412,Xuanhua,-2.63,2.64,43,0,115.04,40.61
413,Springfield,42.76,10.29,73,90,-93.29,37.22
414,Coihaique,62.6,26.4,39,20,-72.07,-45.58
415,Dong Hoi,66.09,16.84,100,92,106.6,17.48
